indice
,region,provincia,grupo_edad,total_personas,unidas_hombres,unidas_mujeres,unidas_total,separadas_hombres,separadas_mujeres,separadas_total,divorciadas_hombres,divorciadas_mujeres,divorciadas_total,viudas_hombres,viudas_mujeres,viudas_total,casadas_hombres,casadas_mujeres,casadas_total,solteras_hombres,solteras_mujeres,solteras_total
,Pichincha,Pedro Vicente Maldonado,De 12-14,957,1,2,3,,1,1,,,0,,,0,,,0,503,450,953
,Pichincha,Pedro Vicente Maldonado,De 15-19,"1,549",27,132,159,3,7,10,,,0,,,0,,1,1,725,654,"1,379"
,Pichincha,Pedro Vicente Maldonado,De 20-24,"1,402",204,275,479,8,50,58,,1,1,,,0,12,41,53,435,376,811
,Pichincha,Pedro Vicente Maldonado,De 25-29,"1,231",236,293,529,12,35,47,1,6,7,,2,2,61,94,155,256,235,491
,Pichincha,Pedro Vicente Maldonado,De 30-34,"1,195",303,254,557,17,52,69,11,12,23,,1,1,105,130,235,152,158,310
,Pichincha,Pedro Vicente Maldonado,De 35-39,"1,010",224,188,412,19,47,66,7,25,32,2,1,3,118,158,276,97,124,221
,Pichincha,Pedro Vicente Maldonado,De 40-44,934,185,147,332,33,46,79,20,27,47,3,8,11,147,145,292,86,87,173
,Pichincha,Pedro Vicente Maldonado,De 45-49,746,141,109,250,29,28,57,16,22,38,2,10,12,129,135,264,66,59,125
,Pichincha,Pedro Vicente Maldonado,De 50-54,631,92,68,160,23,26,49,12,22,34,6,13,19,141,135,276,44,49,93
,Pichincha,Pedro Vicente Maldonado,De 55-59,544,87,58,145,16,21,37,17,32,49,10,17,27,116,97,213,41,32,73
,Pichincha,Pedro Vicente Maldonado,De 60-64,458,47,36,83,24,16,40,16,22,38,8,11,19,108,108,216,29,33,62
,Pichincha,Pedro Vicente Maldonado,De 65-69,364,33,12,45,15,5,20,13,9,22,9,23,32,112,86,198,22,25,47
,Pichincha,Pedro Vicente Maldonado,De 70-74,284,22,18,40,9,11,20,13,8,21,13,42,55,69,54,123,18,7,25
,Pichincha,Pedro Vicente Maldonado,De 75-79,204,6,4,10,4,8,12,8,2,10,18,23,41,62,41,103,16,12,28
,Pichincha,Pedro Vicente Maldonado,De 80-84,133,8,3,11,2,1,3,3,,3,13,33,46,36,23,59,7,4,11
,Pichincha,Pedro Vicente Maldonado,85 o m�s,106,4,,4,3,,3,2,3,5,17,39,56,21,4,25,5,8,13
,Pichincha,Puerto Quito,Total Puerto Quito,"19,543","2,944","2,937","5,881",281,512,793,160,177,337,177,429,606,"1,997","1,993","3,990","4,210","3,726","7,936"
,Pichincha,Puerto Quito,De 12-14,"1,644",3,11,14,,,0,,,0,,,0,,,0,874,756,"1,630"
,Pichincha,Puerto Quito,De 15-19,"2,488",59,229,288,1,6,7,,,0,,,0,1,4,5,"1,193",995,"2,188"
,Pichincha,Puerto Quito,De 20-24,"2,199",304,436,740,7,44,51,,2,2,,1,1,26,72,98,731,576,"1,307"
,Pichincha,Puerto Quito,De 25-29,"1,928",430,464,894,13,55,68,1,8,9,,10,10,95,150,245,333,369,702
,Pichincha,Puerto Quito,De 30-34,"1,779",425,401,826,23,83,106,9,8,17,,8,8,146,179,325,242,255,497
,Pichincha,Puerto Quito,De 35-39,"1,724",381,366,747,33,70,103,12,20,32,1,6,7,191,261,452,187,196,383
,Pichincha,Puerto Quito,De 40-44,"1,485",346,279,625,28,54,82,17,22,39,4,9,13,213,216,429,151,146,297
,Pichincha,Puerto Quito,De 45-49,"1,290",265,247,512,38,37,75,19,31,50,8,20,28,209,191,400,117,108,225
,Pichincha,Puerto Quito,De 50-54,"1,134",220,170,390,25,57,82,14,26,40,5,23,28,204,204,408,103,83,186
,Pichincha,Puerto Quito,De 55-59,937,158,110,268,26,28,54,23,17,40,11,31,42,195,196,391,84,58,142
,Pichincha,Puerto Quito,De 60-64,853,113,94,207,27,34,61,21,20,41,18,34,52,197,180,377,52,63,115
,Pichincha,Puerto Quito,De 65-69,732,91,58,149,22,15,37,14,11,25,17,64,81,207,140,347,47,46,93
,Pichincha,Puerto Quito,De 70-74,525,66,32,98,22,19,41,14,6,20,20,60,80,117,104,221,35,30,65
,Pichincha,Puerto Quito,De 75-79,363,46,24,70,8,5,13,7,1,8,20,60,80,95,51,146,30,16,46
,Pichincha,Puerto Quito,De 80-84,261,28,9,37,6,3,9,6,3,9,36,47,83,61,27,88,22,13,35
,Pichincha,Puerto Quito,85 o m�s,201,9,7,16,2,2,4,3,2,5,37,56,93,40,18,58,9,16,25
,Tungurahua,Total Tungurahua,Total Tungurahua,"462,690","20,185","20,072","40,257","4,217","7,988","12,205","7,712","13,836","21,548","5,397","16,314","21,711","90,938","92,613","183,551","91,632","91,786","183,418"
,Tungurahua,Total Tungurahua,De 12-14,"28,389",34,38,72,6,5,11,,,0,,1,1,,,0,"14,386","13,919","28,305"
,Tungurahua,Total Tungurahua,De 15-19,"48,004",550,"1,244","1,794",14,43,57,1,3,4,2,2,4,68,164,232,"23,705","22,208","45,913"
,Tungurahua,Total Tungurahua,De 20-24,"47,394","2,574","3,361","5,935",85,323,408,26,75,101,3,14,17,"1,177","2,291","3,468","19,803","17,662","37,465"
,Tungurahua,Total Tungurahua,De 25-29,"44,990","3,883","4,051","7,934",243,644,887,212,561,773,15,81,96,"4,811","7,116","11,927","12,420","10,953","23,373"
,Tungurahua,Total Tungurahua,De 30-34,"42,185","3,408","3,263","6,671",415,993,"1,408",576,"1,124","1,700",33,158,191,"8,780","10,453","19,233","6,781","6,201","12,982"
,Tungurahua,Total Tungurahua,De 35-39,"40,159","2,671","2,480","5,151",496,"1,050","1,546",802,"1,511","2,313",56,286,342,"11,021","11,671","22,692","3,827","4,288","8,115"
,Tungurahua,Total Tungurahua,De 40-44,"37,968","2,073","1,919","3,992",506,"1,002","1,508","1,008","1,788","2,796",93,444,537,"11,247","11,775","23,022","2,651","3,462","6,113"
,Tungurahua,Total Tungurahua,De 45-49,"33,385","1,496","1,376","2,872",436,906,"1,342",966,"1,781","2,747",139,598,737,"10,437","10,705","21,142","1,907","2,638","4,545"
,Tungurahua,Total Tungurahua,De 50-54,"30,127","1,128",924,"2,052",475,781,"1,256",988,"1,730","2,718",220,823,"1,043","9,634","9,505","19,139","1,598","2,321","3,919"
,Tungurahua,Total Tungurahua,De 55-59,"26,959",885,602,"1,487",408,731,"1,139",995,"1,680","2,675",309,"1,159","1,468","8,604","8,320","16,924","1,209","2,057","3,266"
,Tungurahua,Total Tungurahua,De 60-64,"22,687",547,370,917,369,591,960,775,"1,309","2,084",432,"1,523","1,955","7,338","6,786","14,124",975,"1,672","2,647"
,Tungurahua,Total Tungurahua,De 65-69,"18,766",441,222,663,291,370,661,578,958,"1,536",578,"1,783","2,361","6,036","5,357","11,393",760,"1,392","2,152"
,Tungurahua,Total Tungurahua,De 70-74,"14,352",251,115,366,193,276,469,351,569,920,698,"2,033","2,731","4,536","3,738","8,274",596,996,"1,592"
,Tungurahua,Total Tungurahua,De 75-79,"11,558",136,69,205,155,151,306,224,386,610,799,"2,282","3,081","3,485","2,598","6,083",438,835,"1,273"
,Tungurahua,Total Tungurahua,De 80-84,"8,042",69,14,83,81,68,149,132,210,342,812,"2,193","3,005","2,222","1,400","3,622",300,541,841
,Tungurahua,Total Tungurahua,85 o m�s,"7,725",39,24,63,44,54,98,78,151,229,"1,208","2,934","4,142","1,542",734,"2,276",276,641,917
,Tungurahua,Ambato,Total Ambato,"304,362","13,600","13,438","27,038","2,941","5,494","8,435","5,500","9,813","15,313","3,410","10,820","14,230","58,670","59,867","118,537","60,400","60,409","120,809"
,Tungurahua,Ambato,De 12-14,"18,533",25,19,44,6,2,8,,,0,,1,1,,,0,"9,393","9,087","18,480"
,Tungurahua,Ambato,De 15-19,"31,814",405,844,"1,249",11,33,44,1,3,4,2,1,3,51,119,170,"15,730","14,614","30,344"
,Tungurahua,Ambato,De 20-24,"31,672","1,732","2,197","3,929",67,218,285,17,47,64,3,7,10,822,"1,474","2,296","13,183","11,905","25,088"
,Tungurahua,Ambato,De 25-29,"29,905","2,519","2,644","5,163",178,441,619,127,342,469,10,58,68,"3,161","4,509","7,670","8,457","7,459","15,916"
,Tungurahua,Ambato,De 30-34,"27,613","2,202","2,138","4,340",290,644,934,389,742,"1,131",26,104,130,"5,683","6,718","12,401","4,547","4,130","8,677"
,Tungurahua,Ambato,De 35-39,"26,351","1,809","1,684","3,493",360,719,"1,079",567,"1,026","1,593",37,189,226,"7,162","7,530","14,692","2,543","2,725","5,268"
,Tungurahua,Ambato,De 40-44,"24,999","1,437","1,291","2,728",370,710,"1,080",715,"1,259","1,974",52,274,326,"7,258","7,677","14,935","1,748","2,208","3,956"
,Tungurahua,Ambato,De 45-49,"21,996","1,014",940,"1,954",327,654,981,722,"1,286","2,008",90,412,502,"6,702","6,895","13,597","1,256","1,698","2,954"
,Tungurahua,Ambato,De 50-54,"19,653",775,650,"1,425",344,559,903,700,"1,232","1,932",130,554,684,"6,088","6,170","12,258",996,"1,455","2,451"
,Tungurahua,Ambato,De 55-59,"17,983",611,434,"1,045",293,511,804,744,"1,223","1,967",200,797,997,"5,676","5,470","11,146",714,"1,310","2,024"
,Tungurahua,Ambato,De 60-64,"15,092",398,272,670,245,382,627,569,964,"1,533",291,"1,055","1,346","4,803","4,499","9,302",572,"1,042","1,614"
,Tungurahua,Ambato,De 65-69,"12,462",323,169,492,176,262,438,412,714,"1,126",391,"1,274","1,665","3,917","3,519","7,436",430,875,"1,305"
,Tungurahua,Ambato,De 70-74,"9,297",183,82,265,117,189,306,245,420,665,446,"1,352","1,798","2,919","2,358","5,277",351,635,986
,Tungurahua,Ambato,De 75-79,"7,327",95,50,145,91,98,189,149,298,447,520,"1,468","1,988","2,192","1,620","3,812",215,531,746
,Tungurahua,Ambato,De 80-84,"4,929",41,11,52,43,40,83,97,157,254,490,"1,390","1,880","1,326",857,"2,183",150,327,477
,Tungurahua,Ambato,85 o m�s,"4,736",31,13,44,23,32,55,46,100,146,722,"1,884","2,606",910,452,"1,362",115,408,523
,Tungurahua,Ba�os de Agua Santa,Total Ba�os de Agua Santa,"18,362","1,021","1,035","2,056",166,272,438,426,682,"1,108",200,660,860,"3,119","3,178","6,297","3,958","3,645","7,603"
,Tungurahua,Ba�os de Agua Santa,De 12-14,"1,068",,,0,,1,1,,,0,,,0,,,0,561,506,"1,067"
,Tungurahua,Ba�os de Agua Santa,De 15-19,"1,821",12,36,48,1,2,3,,,0,,,0,2,3,5,911,854,"1,765"
,Tungurahua,Ba�os de Agua Santa,De 20-24,"1,829",88,129,217,2,11,13,,4,4,,1,1,24,68,92,811,691,"1,502"
,Tungurahua,Ba�os de Agua Santa,De 25-29,"1,870",193,220,413,5,22,27,8,26,34,1,4,5,130,236,366,559,466,"1,025"
,Tungurahua,Ba�os de Agua Santa,De 30-34,"1,668",173,177,350,15,33,48,23,40,63,1,6,7,264,327,591,314,295,609
,Tungurahua,Ba�os de Agua Santa,De 35-39,"1,576",133,140,273,19,33,52,37,74,111,3,6,9,348,378,726,213,192,405
,Tungurahua,Ba�os de Agua Santa,De 40-44,"1,469",106,120,226,16,29,45,39,88,127,1,20,21,378,387,765,149,136,285
,Tungurahua,Ba�os de Agua Santa,De 45-49,"1,403",122,97,219,25,28,53,53,102,155,2,23,25,346,385,731,105,115,220
,Tungurahua,Ba�os de Agua Santa,De 50-54,"1,286",71,44,115,17,27,44,57,97,154,9,30,39,372,385,757,81,96,177
,Tungurahua,Ba�os de Agua Santa,De 55-59,"1,103",55,33,88,16,28,44,52,79,131,11,44,55,314,306,620,73,92,165
,Tungurahua,Ba�os de Agua Santa,De 60-64,895,32,20,52,9,20,29,53,65,118,16,65,81,270,224,494,46,75,121
,Tungurahua,Ba�os de Agua Santa,De 65-69,730,15,11,26,22,19,41,39,53,92,19,66,85,212,189,401,47,38,85
,Tungurahua,Ba�os de Agua Santa,De 70-74,533,8,3,11,6,13,19,29,21,50,24,70,94,170,132,302,31,26,57
,Tungurahua,Ba�os de Agua Santa,De 75-79,457,3,3,6,8,3,11,19,12,31,29,105,134,136,89,225,24,26,50
,Tungurahua,Ba�os de Agua Santa,De 80-84,334,8,,8,4,1,5,12,12,24,29,104,133,91,39,130,13,21,34
,Tungurahua,Ba�os de Agua Santa,85 o m�s,320,2,2,4,1,2,3,5,9,14,55,116,171,62,30,92,20,16,36
,Tungurahua,Cevallos,Total Cevallos,"8,553",377,383,760,95,136,231,138,237,375,103,277,380,"1,706","1,721","3,427","1,689","1,691","3,380"
,Tungurahua,Cevallos,De 12-14,520,,1,1,,,0,,,0,,,0,,,0,272,247,519
,Tungurahua,Cevallos,De 15-19,822,3,12,15,,1,1,,,0,,,0,1,,1,390,415,805
,Tungurahua,Cevallos,De 20-24,847,44,61,105,,4,4,1,,1,,,0,13,41,54,347,336,683
,Tungurahua,Cevallos,De 25-29,787,66,78,144,7,8,15,4,10,14,,1,1,73,141,214,207,192,399
,Tungurahua,Cevallos,De 30-34,827,76,61,137,6,16,22,14,30,44,,3,3,187,197,384,139,98,237
,Tungurahua,Cevallos,De 35-39,722,53,48,101,11,18,29,16,33,49,,2,2,195,226,421,62,58,120
,Tungurahua,Cevallos,De 40-44,665,29,46,75,16,14,30,14,29,43,1,5,6,199,202,401,48,62,110
,Tungurahua,Cevallos,De 45-49,616,28,20,48,8,13,21,14,30,44,4,6,10,204,198,402,31,60,91
,Tungurahua,Cevallos,De 50-54,592,27,23,50,10,8,18,19,26,45,2,14,16,190,183,373,42,48,90
,Tungurahua,Cevallos,De 55-59,511,18,16,34,8,13,21,20,32,52,4,18,22,159,158,317,26,39,65
,Tungurahua,Cevallos,De 60-64,405,11,4,15,10,15,25,8,20,28,8,21,29,143,118,261,25,22,47
,Tungurahua,Cevallos,De 65-69,358,10,4,14,12,7,19,15,11,26,10,30,40,110,105,215,22,22,44
,Tungurahua,Cevallos,De 70-74,293,4,5,9,3,7,10,6,7,13,13,35,48,84,67,151,23,39,62
,Tungurahua,Cevallos,De 75-79,256,5,4,9,1,5,6,6,2,8,18,41,59,71,50,121,21,32,53
,Tungurahua,Cevallos,De 80-84,176,2,,2,3,5,8,1,3,4,17,39,56,49,26,75,16,15,31
,Tungurahua,Cevallos,85 o m�s,156,1,,1,,2,2,,4,4,26,62,88,28,9,37,18,6,24
,Tungurahua,Mocha,Total Mocha,"6,072",246,244,490,63,85,148,71,113,184,85,237,322,"1,316","1,325","2,641","1,190","1,097","2,287"
,Tungurahua,Mocha,De 12-14,370,1,,1,,,0,,,0,,,0,,,0,181,188,369
,Tungurahua,Mocha,De 15-19,570,8,24,32,,,0,,,0,,,0,1,1,2,285,251,536
,Tungurahua,Mocha,De 20-24,535,38,50,88,1,1,2,,,0,,,0,10,21,31,242,172,414
,Tungurahua,Mocha,De 25-29,519,53,42,95,2,7,9,2,7,9,,1,1,48,105,153,147,105,252
,Tungurahua,Mocha,De 30-34,481,30,35,65,9,7,16,6,5,11,1,1,2,105,134,239,83,65,148
,Tungurahua,Mocha,De 35-39,482,37,27,64,5,10,15,6,10,16,2,5,7,132,157,289,45,46,91
,Tungurahua,Mocha,De 40-44,491,23,24,47,4,12,16,9,15,24,2,11,13,151,158,309,36,46,82
,Tungurahua,Mocha,De 45-49,438,14,13,27,4,5,9,7,14,21,1,8,9,146,168,314,27,31,58
,Tungurahua,Mocha,De 50-54,444,12,11,23,6,7,13,11,18,29,4,8,12,162,137,299,28,40,68
,Tungurahua,Mocha,De 55-59,385,14,11,25,8,13,21,9,15,24,2,12,14,119,120,239,22,40,62
,Tungurahua,Mocha,De 60-64,345,6,2,8,7,7,14,8,8,16,2,17,19,122,108,230,22,36,58
,Tungurahua,Mocha,De 65-69,252,4,,4,4,6,10,7,9,16,8,20,28,91,63,154,20,20,40
,Tungurahua,Mocha,De 70-74,216,,1,1,8,2,10,3,2,5,10,30,40,78,59,137,11,12,23
,Tungurahua,Mocha,De 75-79,223,4,3,7,2,5,7,1,5,6,14,37,51,61,53,114,14,24,38
,Tungurahua,Mocha,De 80-84,176,1,,1,3,2,5,2,,2,13,41,54,53,31,84,19,11,30
,Tungurahua,Mocha,85 o m�s,145,1,1,2,,1,1,,5,5,26,46,72,37,10,47,8,10,18
,Tungurahua,Patate,Total Patate,"11,373",503,510,"1,013",70,95,165,171,251,422,151,387,538,"2,176","2,222","4,398","2,456","2,381","4,837"
,Tungurahua,Patate,De 12-14,723,,2,2,,,0,,,0,,,0,,,0,363,358,721
,Tungurahua,Patate,De 15-19,"1,236",11,33,44,,,0,,,0,,,0,1,4,5,627,560,"1,187"
,Tungurahua,Patate,De 20-24,"1,171",70,102,172,,5,5,,,0,,1,1,16,43,59,510,424,934
,Tungurahua,Patate,De 25-29,"1,008",98,92,190,1,8,9,3,15,18,1,4,5,84,155,239,279,268,547
,Tungurahua,Patate,De 30-34,974,92,99,191,4,12,16,12,12,24,,5,5,173,240,413,150,175,325
,Tungurahua,Patate,De 35-39,959,68,65,133,7,15,22,18,32,50,,9,9,246,279,525,102,118,220
,Tungurahua,Patate,De 40-44,867,59,40,99,8,8,16,19,26,45,3,8,11,251,255,506,81,109,190
,Tungurahua,Patate,De 45-49,793,35,41,76,8,11,19,18,36,54,3,11,14,265,232,497,63,70,133
,Tungurahua,Patate,De 50-54,766,30,15,45,7,8,15,23,41,64,10,23,33,234,248,482,58,69,127
,Tungurahua,Patate,De 55-59,650,17,11,28,4,9,13,27,25,52,5,32,37,213,196,409,55,56,111
,Tungurahua,Patate,De 60-64,522,7,5,12,11,8,19,12,17,29,8,26,34,168,173,341,47,40,87
,Tungurahua,Patate,De 65-69,447,7,1,8,9,3,12,14,15,29,15,25,40,150,137,287,34,37,71
,Tungurahua,Patate,De 70-74,390,5,2,7,4,2,6,10,19,29,19,45,64,137,95,232,20,32,52
,Tungurahua,Patate,De 75-79,344,1,,1,2,3,5,5,8,13,25,66,91,92,92,184,28,22,50
,Tungurahua,Patate,De 80-84,256,2,1,3,4,1,5,6,2,8,24,56,80,80,50,130,17,13,30
,Tungurahua,Patate,85 o m�s,267,1,1,2,1,2,3,4,3,7,38,76,114,66,23,89,22,30,52
,Tungurahua,Quero,Total Quero,"15,549",757,759,"1,516",166,309,475,171,309,480,183,476,659,"3,187","3,199","6,386","3,064","2,969","6,033"
,Tungurahua,Quero,De 12-14,996,,2,2,,2,2,,,0,,,0,,,0,526,466,992
,Tungurahua,Quero,De 15-19,"1,599",22,70,92,1,,1,,,0,,,0,2,6,8,785,713,"1,498"
,Tungurahua,Quero,De 20-24,"1,498",113,150,263,5,28,33,,6,6,,1,1,39,105,144,563,488,"1,051"
,Tungurahua,Quero,De 25-29,"1,527",182,153,335,11,26,37,15,21,36,,,0,200,275,475,355,289,644
,Tungurahua,Quero,De 30-34,"1,413",133,118,251,12,33,45,16,30,46,,7,7,332,385,717,180,167,347
,Tungurahua,Quero,De 35-39,"1,384",78,72,150,12,40,52,11,55,66,4,6,10,392,410,802,130,174,304
,Tungurahua,Quero,De 40-44,"1,214",59,69,128,16,41,57,25,46,71,3,12,15,373,381,754,76,113,189
,Tungurahua,Quero,De 45-49,"1,032",40,40,80,9,26,35,17,24,41,6,16,22,343,371,714,60,80,140
,Tungurahua,Quero,De 50-54,"1,032",42,36,78,17,26,43,19,41,60,7,20,27,342,334,676,63,85,148
,Tungurahua,Quero,De 55-59,886,31,20,51,15,24,39,11,22,33,13,25,38,285,261,546,83,96,179
,Tungurahua,Quero,De 60-64,760,16,16,32,16,21,37,18,15,33,15,37,52,246,210,456,64,86,150
,Tungurahua,Quero,De 65-69,605,18,7,25,13,15,28,13,21,34,14,42,56,179,158,337,48,77,125
,Tungurahua,Quero,De 70-74,489,10,1,11,11,12,23,9,9,18,20,56,76,142,130,272,51,38,89
,Tungurahua,Quero,De 75-79,474,10,2,12,15,8,23,10,8,18,26,92,118,139,89,228,38,37,75
,Tungurahua,Quero,De 80-84,342,2,,2,7,5,12,3,5,8,35,70,105,111,62,173,16,26,42
,Tungurahua,Quero,85 o m�s,298,1,3,4,6,2,8,4,6,10,40,92,132,62,22,84,26,34,60
,Tungurahua,San Pedro de Pelileo,Total San Pedro de Pelileo,"51,966","1,987","1,989","3,976",358,778,"1,136",668,"1,334","2,002",631,"1,696","2,327","10,427","10,610","21,037","10,435","11,053","21,488"
,Tungurahua,San Pedro de Pelileo,De 12-14,"3,420",3,6,9,,,0,,,0,,,0,,,0,"1,696","1,715","3,411"
,Tungurahua,San Pedro de Pelileo,De 15-19,"5,508",35,123,158,,4,4,,,0,,,0,6,14,20,"2,672","2,654","5,326"
,Tungurahua,San Pedro de Pelileo,De 20-24,"5,563",277,366,643,3,35,38,6,11,17,,4,4,134,293,427,"2,361","2,073","4,434"
,Tungurahua,San Pedro de Pelileo,De 25-29,"5,157",436,450,886,26,64,90,30,81,111,1,7,8,558,866,"1,424","1,373","1,265","2,638"
,Tungurahua,San Pedro de Pelileo,De 30-34,"4,839",380,339,719,43,115,158,66,149,215,4,10,14,"1,017","1,225","2,242",746,745,"1,491"
,Tungurahua,San Pedro de Pelileo,De 35-39,"4,529",263,249,512,40,97,137,75,175,250,7,28,35,"1,297","1,362","2,659",393,543,936
,Tungurahua,San Pedro de Pelileo,De 40-44,"4,307",191,168,359,40,93,133,117,173,290,15,51,66,"1,338","1,398","2,736",284,439,723
,Tungurahua,San Pedro de Pelileo,De 45-49,"3,741",136,120,256,26,84,110,78,158,236,11,53,64,"1,275","1,264","2,539",212,324,536
,Tungurahua,San Pedro de Pelileo,De 50-54,"3,339",84,75,159,32,72,104,86,134,220,38,95,133,"1,164","1,073","2,237",181,305,486
,Tungurahua,San Pedro de Pelileo,De 55-59,"2,804",71,38,109,30,58,88,64,151,215,41,115,156,944,917,"1,861",131,244,375
,Tungurahua,San Pedro de Pelileo,De 60-64,"2,374",43,27,70,35,74,109,53,115,168,49,153,202,805,691,"1,496",121,208,329
,Tungurahua,San Pedro de Pelileo,De 65-69,"1,919",31,12,43,30,31,61,33,74,107,59,161,220,642,583,"1,225",83,180,263
,Tungurahua,San Pedro de Pelileo,De 70-74,"1,510",21,10,31,22,26,48,23,47,70,89,232,321,469,405,874,49,117,166
,Tungurahua,San Pedro de Pelileo,De 75-79,"1,205",7,2,9,17,8,25,22,32,54,75,230,305,376,284,660,64,88,152
,Tungurahua,San Pedro de Pelileo,De 80-84,873,9,,9,8,9,17,8,19,27,89,231,320,235,160,395,35,70,105
,Tungurahua,San Pedro de Pelileo,85 o m�s,878,,4,4,6,8,14,7,15,22,153,326,479,167,75,242,34,83,117
,Tungurahua,Santiago de P�llaro,Total Santiago de P�llaro,"34,967","1,268","1,298","2,566",253,630,883,434,842,"1,276",497,"1,387","1,884","7,823","7,940","15,763","6,213","6,382","12,595"
,Tungurahua,Santiago de P�llaro,De 12-14,"2,064",5,8,13,,,0,,,0,,,0,,,0,"1,041","1,010","2,051"
,Tungurahua,Santiago de P�llaro,De 15-19,"3,437",37,65,102,1,3,4,,,0,,1,1,2,5,7,"1,715","1,608","3,323"
,Tungurahua,Santiago de P�llaro,De 20-24,"3,198",153,234,387,4,14,18,2,5,7,,,0,77,164,241,"1,356","1,189","2,545"
,Tungurahua,Santiago de P�llaro,De 25-29,"3,113",254,284,538,7,54,61,19,37,56,1,4,5,399,595,994,752,707,"1,459"
,Tungurahua,Santiago de P�llaro,De 30-34,"3,365",254,232,486,27,103,130,40,82,122,,17,17,802,971,"1,773",453,384,837
,Tungurahua,Santiago de P�llaro,De 35-39,"3,158",174,159,333,29,87,116,54,85,139,2,31,33,936,"1,021","1,957",241,339,580
,Tungurahua,Santiago de P�llaro,De 40-44,"2,957",129,116,245,30,79,109,53,122,175,14,54,68,989,961,"1,950",154,256,410
,Tungurahua,Santiago de P�llaro,De 45-49,"2,542",82,76,158,20,65,85,48,101,149,18,48,66,860,926,"1,786",107,191,298
,Tungurahua,Santiago de P�llaro,De 50-54,"2,298",61,49,110,26,58,84,50,112,162,15,63,78,850,750,"1,600",104,160,264
,Tungurahua,Santiago de P�llaro,De 55-59,"1,962",43,30,73,23,59,82,56,101,157,23,86,109,671,659,"1,330",78,133,211
,Tungurahua,Santiago de P�llaro,De 60-64,"1,727",22,19,41,28,46,74,44,84,128,33,118,151,585,583,"1,168",52,113,165
,Tungurahua,Santiago de P�llaro,De 65-69,"1,494",26,12,38,15,20,35,32,47,79,52,131,183,549,453,"1,002",53,104,157
,Tungurahua,Santiago de P�llaro,De 70-74,"1,229",14,8,22,17,20,37,15,34,49,64,172,236,406,373,779,38,68,106
,Tungurahua,Santiago de P�llaro,De 75-79,"1,015",10,4,14,15,13,28,7,14,21,71,205,276,339,265,604,24,48,72
,Tungurahua,Santiago de P�llaro,De 80-84,711,3,2,5,8,5,13,3,9,12,84,199,283,202,138,340,20,38,58
,Tungurahua,Santiago de P�llaro,85 o m�s,697,1,,1,3,4,7,11,9,20,120,258,378,156,76,232,25,34,59
,Tungurahua,Tisaleo,Total Tisaleo,"11,486",426,416,842,105,189,294,133,255,388,137,374,511,"2,514","2,551","5,065","2,227","2,159","4,386"
,Tungurahua,Tisaleo,De 12-14,695,,,0,,,0,,,0,,,0,,,0,353,342,695
,Tungurahua,Tisaleo,De 15-19,"1,197",17,37,54,,,0,,,0,,,0,2,12,14,590,539,"1,129"
,Tungurahua,Tisaleo,De 20-24,"1,081",59,72,131,3,7,10,,2,2,,,0,42,82,124,430,384,814
,Tungurahua,Tisaleo,De 25-29,"1,104",82,88,170,6,14,20,4,22,26,1,2,3,158,234,392,291,202,493
,Tungurahua,Tisaleo,De 30-34,"1,005",68,64,132,9,30,39,10,34,44,1,5,6,217,256,473,169,142,311
,Tungurahua,Tisaleo,De 35-39,998,56,36,92,13,31,44,18,21,39,1,10,11,313,308,621,98,93,191
,Tungurahua,Tisaleo,De 40-44,999,40,45,85,6,16,22,17,30,47,2,9,11,310,356,666,75,93,168
,Tungurahua,Tisaleo,De 45-49,824,25,29,54,9,20,29,9,30,39,4,21,25,296,266,562,46,69,115
,Tungurahua,Tisaleo,De 50-54,717,26,21,47,16,16,32,23,29,52,5,16,21,232,225,457,45,63,108
,Tungurahua,Tisaleo,De 55-59,675,25,9,34,11,16,27,12,32,44,10,30,40,223,233,456,27,47,74
,Tungurahua,Tisaleo,De 60-64,567,12,5,17,8,18,26,10,21,31,10,31,41,196,180,376,26,50,76
,Tungurahua,Tisaleo,De 65-69,499,7,6,13,10,7,17,13,14,27,10,34,44,186,150,336,23,39,62
,Tungurahua,Tisaleo,De 70-74,395,6,3,9,5,5,10,11,10,21,13,41,54,131,119,250,22,29,51
,Tungurahua,Tisaleo,De 75-79,257,1,1,2,4,8,12,5,7,12,21,38,59,79,56,135,10,27,37
,Tungurahua,Tisaleo,De 80-84,245,1,,1,1,,1,,3,3,31,63,94,75,37,112,14,20,34
,Tungurahua,Tisaleo,85 o m�s,228,1,,1,4,1,5,1,,1,28,74,102,54,37,91,8,20,28
,Zamora Chinchipe,Total Zamora Chinchipe,Total Zamora Chinchipe,"85,149","7,519","7,623","15,142",794,"1,392","2,186","1,093","1,462","2,555",820,"2,043","2,863","11,802","11,780","23,582","20,273","18,548","38,821"
,Zamora Chinchipe,Total Zamora Chinchipe,De 12-14,"7,280",14,22,36,2,3,5,,,0,,1,1,,,0,"3,751","3,487","7,238"
,Zamora Chinchipe,Total Zamora Chinchipe,De 15-19,"11,689",141,593,734,9,19,28,1,,1,1,3,4,5,16,21,"5,841","5,060","10,901"
,Zamora Chinchipe,Total Zamora Chinchipe,De 20-24,"9,839",849,"1,358","2,207",14,91,105,4,12,16,,1,1,84,261,345,"3,887","3,278","7,165"
